"filename", "language", "SCSS", "HTML", "TypeScript", "comment", "blank", "total"
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app-routing.module.ts", "TypeScript", 0, 0, 76, 5, 8, 89
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app.component.html", "HTML", 0, 1, 0, 0, 5, 6
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app.component.ts", "TypeScript", 0, 0, 50, 2, 7, 59
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\app.module.ts", "TypeScript", 0, 0, 141, 0, 2, 143
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\common.scss", "SCSS", 13, 0, 0, 0, 2, 15
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\component-factory\component-factory.component.html", "HTML", 0, 26, 0, 0, 4, 30
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\component-factory\component-factory.component.scss", "SCSS", 39, 0, 0, 13, 11, 63
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\component-factory\component-factory.component.ts", "TypeScript", 0, 0, 58, 2, 20, 80
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\config-component\config-component.component.html", "HTML", 0, 11, 0, 0, 2, 13
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\config-component\config-component.component.scss", "SCSS", 21, 0, 0, 0, 3, 24
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\config-component\config-component.component.ts", "TypeScript", 0, 0, 54, 0, 18, 72
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\dialog-confirmation\dialog-confirmation.component.html", "HTML", 0, 13, 0, 0, 0, 13
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\dialog-confirmation\dialog-confirmation.component.scss", "SCSS", 3, 0, 0, 0, 0, 3
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\general-components\dialog-confirmation\dialog-confirmation.component.ts", "TypeScript", 0, 0, 16, 0, 7, 23
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\login\login.component.html", "HTML", 0, 38, 0, 0, 10, 48
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\login\login.component.scss", "SCSS", 34, 0, 0, 1, 6, 41
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\login\login.component.ts", "TypeScript", 0, 0, 48, 0, 8, 56
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\header-menu\header-menu.component.html", "HTML", 0, 3, 0, 0, 1, 4
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\header-menu\header-menu.component.scss", "SCSS", 6, 0, 0, 0, 1, 7
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\header-menu\header-menu.component.ts", "TypeScript", 0, 0, 51, 10, 16, 77
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\main-menu.component.html", "HTML", 0, 35, 0, 5, 11, 51
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\main-menu.component.scss", "SCSS", 98, 0, 0, 12, 22, 132
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\main-menu.component.ts", "TypeScript", 0, 0, 66, 0, 6, 72
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\menu.component.html", "HTML", 0, 21, 0, 0, 1, 22
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\menu.component.scss", "SCSS", 15, 0, 0, 0, 3, 18
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\menu.component.ts", "TypeScript", 0, 0, 11, 0, 5, 16
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\dasboard-settings\dasboard-settings.component.html", "HTML", 0, 12, 0, 0, 1, 13
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\dasboard-settings\dasboard-settings.component.scss", "SCSS", 10, 0, 0, 0, 4, 14
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\dasboard-settings\dasboard-settings.component.ts", "TypeScript", 0, 0, 15, 0, 6, 21
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\map-manager\map-manager.component.html", "HTML", 0, 17, 0, 0, 1, 18
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\map-manager\map-manager.component.scss", "SCSS", 7, 0, 0, 0, 2, 9
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\map-manager\map-manager.component.ts", "TypeScript", 0, 0, 14, 0, 4, 18
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\misionbot-settings\misionbot-settings.component.html", "HTML", 0, 21, 0, 0, 1, 22
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\misionbot-settings\misionbot-settings.component.scss", "SCSS", 7, 0, 0, 0, 3, 10
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\misionbot-settings\misionbot-settings.component.ts", "TypeScript", 0, 0, 14, 0, 3, 17
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\vto-overtime\vto-overtime.component.html", "HTML", 0, 17, 0, 0, 1, 18
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\vto-overtime\vto-overtime.component.scss", "SCSS", 7, 0, 0, 0, 2, 9
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-menu\menu\settings\vto-overtime\vto-overtime.component.ts", "TypeScript", 0, 0, 11, 0, 5, 16
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\common.scss", "SCSS", 17, 0, 0, 0, 3, 20
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\agent-list.component.html", "HTML", 0, 3, 0, 0, 1, 4
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\agent-list.component.scss", "SCSS", 30, 0, 0, 5, 4, 39
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\agent-list.component.ts", "TypeScript", 0, 0, 24, 2, 11, 37
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\follow-up-popover\follow-up-popover.component.html", "HTML", 0, 18, 0, 0, 1, 19
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\follow-up-popover\follow-up-popover.component.scss", "SCSS", 23, 0, 0, 0, 6, 29
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\follow-up-popover\follow-up-popover.component.ts", "TypeScript", 0, 0, 38, 1, 10, 49
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\icon-table\icon-table.component.scss", "SCSS", 4, 0, 0, 0, 0, 4
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\agent-list\icon-table\icon-table.component.ts", "TypeScript", 0, 0, 42, 1, 6, 49
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-chart\kpi-chart.component.html", "HTML", 0, 1, 0, 0, 1, 2
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-chart\kpi-chart.component.scss", "SCSS", 5, 0, 0, 0, 0, 5
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-chart\kpi-chart.component.ts", "TypeScript", 0, 0, 23, 0, 9, 32
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-individual\kpi-individual.component.html", "HTML", 0, 12, 0, 0, 1, 13
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-individual\kpi-individual.component.scss", "SCSS", 7, 0, 0, 0, 2, 9
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\kpi-individual\kpi-individual.component.ts", "TypeScript", 0, 0, 23, 0, 6, 29
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashboard\map-dashboard.component.html", "HTML", 0, 11, 0, 1, 0, 12
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashboard\map-dashboard.component.scss", "SCSS", 20, 0, 0, 0, 3, 23
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashboard\map-dashboard.component.ts", "TypeScript", 0, 0, 48, 0, 12, 60
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashbord2\map-dashbord2.component.html", "HTML", 0, 69, 0, 0, 1, 70
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashbord2\map-dashbord2.component.scss", "SCSS", 157, 0, 0, 2, 17, 176
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-dashbord2\map-dashbord2.component.ts", "TypeScript", 0, 0, 120, 0, 15, 135
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\map-v3.component.html", "HTML", 0, 15, 0, 8, 6, 29
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\map-v3.component.scss", "SCSS", 51, 0, 0, 6, 7, 64
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\map-v3.component.ts", "TypeScript", 0, 0, 25, 1, 8, 34
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\position\position.component.html", "HTML", 0, 6, 0, 0, 1, 7
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\position\position.component.scss", "SCSS", 15, 0, 0, 2, 1, 18
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\map-v3\position\position.component.ts", "TypeScript", 0, 0, 40, 2, 10, 52
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\states-map\states-map.component.html", "HTML", 0, 26, 0, 6, 5, 37
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\states-map\states-map.component.scss", "SCSS", 53, 0, 0, 5, 10, 68
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\components\states-map\states-map.component.ts", "TypeScript", 0, 0, 50, 0, 18, 68
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\central\central.component.html", "HTML", 0, 11, 0, 0, 0, 11
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\central\central.component.scss", "SCSS", 74, 0, 0, 29, 11, 114
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\central\central.component.ts", "TypeScript", 0, 0, 72, 2, 17, 91
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\config\config.component.html", "HTML", 0, 8, 0, 0, 0, 8
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\config\config.component.scss", "SCSS", 27, 0, 0, 0, 7, 34
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\config\config.component.ts", "TypeScript", 0, 0, 15, 0, 10, 25
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\confirm\confirm.component.html", "HTML", 0, 15, 0, 0, 0, 15
"c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app\main-sections\dashboard\accessories\follow-up\confirm\confirm.component.scss", "SCSS", 3, 0, 0, 0, 0, 3
