Date : 2020-07-15 13:32:11
Directory : c:\Users\bustosmoreno.5\Documents\ChronosLab\ChronosV3\src\app
Total : 146 files,  7501 codes, 605 comments, 1141 blanks, all 9247 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         57 |      4,638 |        489 |        802 |      5,929 |
| SCSS       |         46 |      1,648 |         94 |        252 |      1,994 |
| HTML       |         43 |      1,215 |         22 |         87 |      1,324 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        146 |      7,501 |        605 |      1,141 |      9,247 |
| component-factory                                                                                                                                     |          3 |        123 |         15 |         35 |        173 |
| general-components                                                                                                                                    |          6 |        118 |          0 |         30 |        148 |
| general-components\config-component                                                                                                                   |          3 |         86 |          0 |         23 |        109 |
| general-components\dialog-confirmation                                                                                                                |          3 |         32 |          0 |          7 |         39 |
| login                                                                                                                                                 |          3 |        120 |          1 |         24 |        145 |
| main-menu                                                                                                                                             |         21 |        458 |         27 |         99 |        584 |
| main-menu\header-menu                                                                                                                                 |          3 |         60 |         10 |         18 |         88 |
| main-menu\menu                                                                                                                                        |         15 |        199 |          0 |         42 |        241 |
| main-menu\menu\settings                                                                                                                               |         12 |        152 |          0 |         33 |        185 |
| main-menu\menu\settings\dasboard-settings                                                                                                             |          3 |         37 |          0 |         11 |         48 |
| main-menu\menu\settings\map-manager                                                                                                                   |          3 |         38 |          0 |          7 |         45 |
| main-menu\menu\settings\misionbot-settings                                                                                                            |          3 |         42 |          0 |          7 |         49 |
| main-menu\menu\settings\vto-overtime                                                                                                                  |          3 |         35 |          0 |          8 |         43 |
| main-sections                                                                                                                                         |         72 |      3,465 |        327 |        548 |      4,340 |
| main-sections\components                                                                                                                              |         29 |        959 |         42 |        172 |      1,173 |
| main-sections\components\agent-list                                                                                                                   |          8 |        182 |          9 |         39 |        230 |
| main-sections\components\agent-list\follow-up-popover                                                                                                 |          3 |         79 |          1 |         17 |         97 |
| main-sections\components\agent-list\icon-table                                                                                                        |          2 |         46 |          1 |          6 |         53 |
| main-sections\components\kpi-chart                                                                                                                    |          3 |         29 |          0 |         10 |         39 |
| main-sections\components\kpi-individual                                                                                                               |          3 |         42 |          0 |          9 |         51 |
| main-sections\components\map-dashboard                                                                                                                |          3 |         79 |          1 |         15 |         95 |
| main-sections\components\map-dashbord2                                                                                                                |          3 |        346 |          2 |         33 |        381 |
| main-sections\components\map-v3                                                                                                                       |          6 |        152 |         19 |         33 |        204 |
| main-sections\components\map-v3\position                                                                                                              |          3 |         61 |          4 |         12 |         77 |
| main-sections\components\states-map                                                                                                                   |          3 |        129 |         11 |         33 |        173 |
| main-sections\dashboard                                                                                                                               |         24 |      1,015 |        285 |        256 |      1,556 |
| main-sections\dashboard\accessories                                                                                                                   |         21 |        668 |        257 |        165 |      1,090 |
| main-sections\dashboard\accessories\central                                                                                                           |          3 |        157 |         31 |         28 |        216 |
| main-sections\dashboard\accessories\config                                                                                                            |          3 |         50 |          0 |         17 |         67 |
| main-sections\dashboard\accessories\follow-up                                                                                                         |          6 |         82 |          5 |         19 |        106 |
| main-sections\dashboard\accessories\follow-up\confirm                                                                                                 |          3 |         36 |          0 |          6 |         42 |
| main-sections\dashboard\accessories\right-click                                                                                                       |          3 |         78 |          6 |         30 |        114 |
